name	label	A0	A1	A2	A3	A4	A5	A6	A7	Placement
1	2 : fist	0.753417	0.702682	0.424193	0.315048	0.477055	0.611733	0.623526	0.596075	100.000000
2	6 : two	0.111046	0.176272	0.186227	0.135174	0.067617	0.096029	0.121154	0.058428	100.000000
3	5 : one	0.192679	0.149679	0.196329	0.140354	0.077972	0.109724	0.095915	0.080407	100.000000
4	4 : pointing	0.169382	0.263684	0.256883	0.093502	0.069007	0.105855	0.111877	0.264923	100.000000
5	5 : one	0.267613	0.133017	0.161666	0.074621	0.089018	0.081909	0.039307	0.053178	100.000000
6	3 : hook	0.344534	0.285501	0.303593	0.151123	0.156342	0.240355	0.653355	0.439795	100.000000
7	6 : two	0.236481	0.229603	0.190793	0.155781	0.058899	0.184756	0.285492	0.055460	100.000000
8	8 : four	0.124030	0.120869	0.405624	0.218747	0.081217	0.170407	0.486778	0.123760	100.000000
9	0 : rest	0.019297	0.012454	0.026491	0.070740	0.052558	0.029994	0.103910	0.018992	100.000000
10	6 : two	0.183190	0.173307	0.226283	0.087505	0.056252	0.187080	0.304564	0.076624	100.000000
11	3 : hook	0.461032	0.402243	0.518092	0.077651	0.121168	0.214761	0.508869	0.416635	100.000000
12	1 : pinch	0.017999	0.030060	0.063329	0.103943	0.143655	0.323796	0.211536	0.027144	100.000000
13	2 : fist	0.526490	0.594185	0.460071	0.248508	0.377031	0.543091	0.648035	0.611500	100.000000
14	3 : hook	0.377101	0.401946	0.366939	0.130903	0.159254	0.247151	0.660705	0.394526	100.000000
15	5 : one	0.203565	0.116102	0.170411	0.083534	0.092904	0.068129	0.090223	0.079006	100.000000
16	8 : four	0.132009	0.108124	0.332321	0.161026	0.065178	0.237318	0.488496	0.104990	100.000000
17	9 : five	0.307280	0.178135	0.405159	0.160164	0.099241	0.279705	0.641121	0.273940	100.000000
18	2 : fist	0.637169	0.739966	0.432691	0.373542	0.528215	0.599258	0.611984	0.670755	100.000000
19	2 : fist	0.568112	0.674732	0.425078	0.210692	0.398912	0.401243	0.666603	0.524542	100.000000
20	6 : two	0.154868	0.119788	0.206654	0.111351	0.067375	0.113036	0.215376	0.057864	100.000000
21	1 : pinch	0.013436	0.023209	0.028801	0.081781	0.101302	0.160439	0.245350	0.037639	100.000000
22	4 : pointing	0.293130	0.330237	0.216629	0.158120	0.076269	0.193994	0.099822	0.318254	100.000000
23	5 : one	0.281909	0.159892	0.202737	0.064326	0.078170	0.066951	0.035291	0.077549	100.000000
24	8 : four	0.164239	0.152565	0.386871	0.234759	0.064475	0.185663	0.547896	0.168044	100.000000
25	8 : four	0.174716	0.192509	0.451463	0.121327	0.063330	0.222786	0.377770	0.162227	100.000000
