name	label	A0	A1	A2	A3	A4	A5	A6	A7	Placement
1	3 : hook	0.420255	0.129474	0.266990	0.093767	0.110453	0.402777	0.261214	0.522247	1500.000000
2	1 : pinch	0.073608	0.145544	0.101813	0.039055	0.045823	0.068482	0.145439	0.045656	800.000000
3	2 : fist	0.279845	0.425655	0.503539	0.317032	0.287700	0.346483	0.478005	0.526766	300.000000
4	0 : rest	0.021845	0.016104	0.015017	0.094959	0.153929	0.048680	0.008935	0.029718	300.000000
5	8 : four	0.356450	0.111377	0.052368	0.275105	0.493312	0.096338	0.208238	0.305009	1300.000000
6	8 : four	0.242999	0.167010	0.300244	0.680784	0.072853	0.231796	0.254044	0.423825	1100.000000
7	0 : rest	0.018179	0.031473	0.018189	0.014084	0.023358	0.029533	0.131421	0.029918	600.000000
8	7 : three	0.061340	0.208895	0.176691	0.035922	0.207429	0.466885	0.099336	0.024658	1500.000000
9	7 : three	0.267931	0.192152	0.108523	0.608134	0.278270	0.035827	0.037822	0.121755	1200.000000
10	7 : three	0.271692	0.270580	0.061189	0.684383	0.236498	0.033232	0.067245	0.146657	1200.000000
11	2 : fist	0.245500	0.468041	0.179087	0.342270	0.120895	0.272270	0.396688	0.284531	400.000000
12	3 : hook	0.423752	0.391001	0.468081	0.380947	0.129224	0.153207	0.136996	0.531280	400.000000
13	3 : hook	0.279324	0.434097	0.288572	0.472707	0.307954	0.306509	0.127543	0.109604	600.000000
14	6 : two	0.038642	0.479930	0.208532	0.084892	0.314250	0.180858	0.210595	0.044755	800.000000
15	1 : pinch	0.247935	0.141552	0.024151	0.017091	0.045846	0.062094	0.124746	0.161731	600.000000
16	3 : hook	0.232341	0.518509	0.278272	0.430088	0.302760	0.299490	0.191091	0.115887	600.000000
17	2 : fist	0.738922	0.305663	0.332629	0.327477	0.385838	0.384717	0.500065	0.616201	1500.000000
18	7 : three	0.045660	0.413743	0.434894	0.062199	0.096726	0.112581	0.311151	0.076616	800.000000
19	1 : pinch	0.074332	0.069591	0.056468	0.110579	0.239132	0.019483	0.007155	0.051189	1300.000000
20	9 : five	0.269658	0.147737	0.150712	0.076593	0.575776	0.391758	0.184570	0.368504	1400.000000
21	0 : rest	0.010026	0.019052	0.021022	0.029935	0.042004	0.187737	0.025572	0.021230	400.000000
22	9 : five	0.058916	0.229401	0.329830	0.639899	0.149922	0.468606	0.348479	0.296637	1100.000000
23	6 : two	0.087809	0.173040	0.255268	0.226552	0.053663	0.110683	0.207227	0.325652	1100.000000
24	5 : one	0.173295	0.040883	0.043279	0.092691	0.014755	0.067250	0.248757	0.195637	1300.000000
25	6 : two	0.296051	0.247513	0.085662	0.376718	0.184003	0.065990	0.185808	0.209506	1200.000000
26	7 : three	0.233494	0.176055	0.125076	0.081725	0.533926	0.206381	0.029236	0.037396	1400.000000
27	1 : pinch	0.062680	0.131576	0.167696	0.038921	0.044488	0.083653	0.182037	0.080882	800.000000
28	1 : pinch	0.041315	0.025723	0.136148	0.049148	0.145584	0.164927	0.043687	0.016447	1500.000000
29	1 : pinch	0.041362	0.012432	0.019394	0.071256	0.124185	0.056016	0.111212	0.248807	300.000000
30	5 : one	0.147764	0.124538	0.236491	0.060249	0.030497	0.008267	0.097332	0.272468	1500.000000
31	0 : rest	0.065414	0.025483	0.014908	0.012059	0.011732	0.078294	0.147833	0.058389	500.000000
32	1 : pinch	0.135069	0.181632	0.093933	0.045494	0.036520	0.064718	0.131597	0.091336	800.000000
33	9 : five	0.127317	0.269964	0.133485	0.262468	0.320912	0.042949	0.134564	0.464908	300.000000
34	1 : pinch	0.038421	0.068172	0.036788	0.124566	0.255068	0.069185	0.023595	0.027188	1400.000000
35	1 : pinch	0.110924	0.229501	0.146855	0.056321	0.041419	0.086301	0.125758	0.040394	800.000000
36	8 : four	0.070650	0.105330	0.160941	0.305535	0.078704	0.079354	0.501444	0.444121	200.000000
37	2 : fist	0.154412	0.500647	0.500053	0.648667	0.497451	0.279881	0.492318	0.095496	1000.000000
38	3 : hook	0.355958	0.508137	0.213220	0.572950	0.306729	0.333703	0.134667	0.075078	600.000000
39	2 : fist	0.305206	0.123924	0.228233	0.345876	0.540074	0.532573	0.428393	0.580490	1300.000000
40	6 : two	0.304629	0.270702	0.040074	0.491645	0.173629	0.068951	0.212342	0.200842	1200.000000
41	7 : three	0.221355	0.040287	0.065016	0.212511	0.095654	0.133866	0.060919	0.428492	400.000000
42	4 : pointing	0.070982	0.075335	0.090473	0.186635	0.247105	0.424189	0.272518	0.304926	1000.000000
43	0 : rest	0.024959	0.226717	0.021211	0.026982	0.017563	0.011518	0.038272	0.011220	1200.000000
44	2 : fist	0.472708	0.537452	0.588308	0.581656	0.704997	0.309522	0.196011	0.269918	700.000000
45	9 : five	0.208445	0.150937	0.130462	0.050236	0.281700	0.542937	0.201547	0.444472	1500.000000
46	0 : rest	0.063554	0.018855	0.020044	0.028999	0.018504	0.049186	0.011479	0.150359	900.000000
47	0 : rest	0.022836	0.051339	0.165068	0.049223	0.151107	0.078088	0.021838	0.028819	1400.000000
48	7 : three	0.212914	0.198939	0.120109	0.083009	0.451865	0.133392	0.021134	0.031115	1400.000000
49	7 : three	0.251913	0.040281	0.076076	0.221628	0.127481	0.153747	0.055544	0.391980	400.000000
50	7 : three	0.085033	0.087975	0.130041	0.156206	0.259103	0.045867	0.121560	0.566213	300.000000
51	0 : rest	0.138521	0.042932	0.029027	0.086245	0.024078	0.017454	0.016470	0.029024	1000.000000
52	4 : pointing	0.208013	0.205190	0.135437	0.214669	0.034650	0.020164	0.154131	0.061216	1600.000000
53	6 : two	0.306978	0.157004	0.079662	0.352959	0.204755	0.321831	0.120159	0.044669	600.000000
54	2 : fist	0.221612	0.218725	0.349441	0.548721	0.576547	0.465028	0.511899	0.585600	1300.000000
55	4 : pointing	0.208958	0.125722	0.132127	0.135196	0.081622	0.161425	0.041482	0.035970	400.000000
56	0 : rest	0.053016	0.017035	0.008204	0.020538	0.023532	0.039753	0.013177	0.160530	900.000000
57	9 : five	0.510266	0.582821	0.113287	0.437824	0.273650	0.522177	0.133020	0.066709	600.000000
58	3 : hook	0.268433	0.381104	0.296365	0.475673	0.277231	0.426567	0.124008	0.089353	600.000000
59	7 : three	0.572660	0.121971	0.155146	0.104202	0.261997	0.107066	0.098323	0.254396	500.000000
60	2 : fist	0.571061	0.380357	0.590253	0.553534	0.225231	0.156303	0.524976	0.725115	500.000000
61	9 : five	0.323007	0.154112	0.143683	0.085973	0.288450	0.371762	0.147185	0.467792	1500.000000
62	1 : pinch	0.127085	0.231043	0.144498	0.053160	0.042892	0.084803	0.117997	0.047378	800.000000
63	3 : hook	0.125421	0.085229	0.290139	0.344503	0.280822	0.387943	0.222020	0.166987	1000.000000
64	1 : pinch	0.176092	0.238143	0.025857	0.022413	0.039187	0.025995	0.119641	0.072542	700.000000
65	5 : one	0.100230	0.084843	0.095722	0.111287	0.027155	0.044101	0.329840	0.147091	1300.000000
66	7 : three	0.707004	0.116560	0.102350	0.063560	0.292719	0.166460	0.099582	0.224102	500.000000
67	6 : two	0.237353	0.173563	0.067605	0.160433	0.117769	0.040014	0.149241	0.189871	1300.000000
68	6 : two	0.267724	0.247473	0.067526	0.502157	0.210703	0.065169	0.180203	0.286637	1200.000000
