name	label	A0	A1	A2	A3	A4	A5	A6	A7	Placement
1	3 : hook	0.726256	0.657011	0.450682	0.670277	0.105099	0.158457	0.835020	0.643042	100.000000
2	1 : pinch	0.093283	0.047210	0.090528	0.703827	0.042896	0.207886	0.325727	0.063913	100.000000
3	2 : fist	0.969224	0.975012	0.521756	0.958556	0.483766	0.819876	0.999741	0.919325	100.000000
4	0 : rest	0.021840	0.010736	0.077459	0.731254	0.000784	0.001693	0.045658	0.004584	100.000000
5	8 : four	0.239377	0.241081	0.472818	0.884567	0.007166	0.115448	0.829079	0.250761	100.000000
6	8 : four	0.262300	0.272906	0.544726	0.874469	0.007333	0.158974	0.822801	0.330417	100.000000
7	0 : rest	0.050564	0.024355	0.089817	0.707980	0.004423	0.018707	0.167130	0.028649	100.000000
8	7 : three	0.114236	0.094878	0.252254	0.866365	0.002663	0.061355	0.948933	0.264225	100.000000
9	7 : three	0.095234	0.117036	0.249043	0.823510	0.001869	0.064751	0.880523	0.315497	100.000000
10	7 : three	0.145616	0.114517	0.249284	0.794644	0.005601	0.085059	0.886288	0.321832	100.000000
11	2 : fist	0.773134	0.926970	0.698800	0.847956	0.341829	0.608451	0.978362	0.679331	100.000000
12	3 : hook	0.598263	0.659741	0.573355	0.789335	0.117097	0.201186	0.863605	0.674125	100.000000
13	3 : hook	0.721252	0.667291	0.510872	0.678665	0.117986	0.201204	0.827682	0.640714	100.000000
14	6 : two	0.339735	0.200412	0.229777	0.693365	0.011940	0.125190	0.438784	0.225032	100.000000
15	1 : pinch	0.137109	0.039468	0.103177	0.771446	0.111939	0.456938	0.343797	0.091396	100.000000
16	3 : hook	0.677933	0.667027	0.549214	0.731454	0.121481	0.212181	0.847315	0.655812	100.000000
17	2 : fist	0.999025	0.990281	0.229670	0.969994	0.741248	0.915202	0.999995	0.963696	100.000000
18	7 : three	0.117921	0.120797	0.239727	0.820053	0.003924	0.069475	0.887889	0.291472	100.000000
19	1 : pinch	0.128452	0.027776	0.078107	0.769820	0.109683	0.548328	0.284764	0.096455	100.000000
20	9 : five	0.334579	0.408646	0.678457	0.835926	0.033495	0.352749	0.920186	0.583796	100.000000
21	0 : rest	0.046988	0.022507	0.131118	0.731113	0.004572	0.009161	0.119561	0.023324	100.000000
22	9 : five	0.375543	0.514232	0.682548	0.823445	0.037045	0.351316	0.933081	0.617041	100.000000
23	6 : two	0.286623	0.243992	0.123177	0.641189	0.004815	0.072935	0.350168	0.108232	100.000000
24	5 : one	0.544817	0.259779	0.343288	0.618349	0.090954	0.084507	0.037497	0.098100	100.000000
25	6 : two	0.322524	0.229033	0.176014	0.652668	0.007982	0.086351	0.427960	0.187701	100.000000
26	7 : three	0.101528	0.109068	0.237510	0.837506	0.002166	0.052096	0.916856	0.256300	100.000000
27	1 : pinch	0.114462	0.060446	0.127033	0.690516	0.040792	0.131049	0.343257	0.107311	100.000000
28	1 : pinch	0.117846	0.030254	0.094297	0.747350	0.101058	0.416462	0.358380	0.088591	100.000000
29	1 : pinch	0.101314	0.013534	0.055912	0.726626	0.151836	0.565787	0.291804	0.102259	100.000000
30	5 : one	0.547682	0.255261	0.301020	0.608000	0.091169	0.090169	0.041180	0.096628	100.000000
31	0 : rest	0.070815	0.043660	0.133242	0.713127	0.030339	0.063859	0.222721	0.054859	100.000000
32	1 : pinch	0.110542	0.035484	0.088715	0.760722	0.089095	0.433109	0.308556	0.080893	100.000000
33	9 : five	0.333573	0.381905	0.652854	0.821917	0.049597	0.370136	0.863488	0.533233	100.000000
34	1 : pinch	0.154929	0.038142	0.104086	0.775314	0.144904	0.517345	0.338648	0.107036	100.000000
35	1 : pinch	0.104195	0.037081	0.080046	0.703600	0.047401	0.282275	0.340354	0.077962	100.000000
36	8 : four	0.240250	0.248522	0.503255	0.877233	0.007250	0.137643	0.830739	0.297555	100.000000
37	2 : fist	0.987375	0.987353	0.387961	0.966862	0.525368	0.854220	0.999864	0.935003	100.000000
38	3 : hook	0.571806	0.653664	0.594923	0.797735	0.095311	0.224380	0.895969	0.678599	100.000000
39	2 : fist	0.770468	0.903667	0.472849	0.858445	0.366624	0.663803	0.838014	0.701876	100.000000
40	6 : two	0.352699	0.193079	0.303380	0.716769	0.014927	0.157355	0.522161	0.327125	100.000000
41	7 : three	0.100703	0.110485	0.239150	0.830297	0.001812	0.051125	0.919079	0.278905	100.000000
42	4 : pointing	0.352716	0.653159	0.277013	0.636640	0.027081	0.100598	0.069865	0.385029	100.000000
43	0 : rest	0.055552	0.022428	0.170270	0.746440	0.002733	0.006361	0.138688	0.034307	100.000000
44	2 : fist	0.998209	0.995162	0.420431	0.973400	0.638630	0.915141	0.999998	0.966778	100.000000
45	9 : five	0.298271	0.352602	0.597939	0.827048	0.022343	0.264761	0.937857	0.583537	100.000000
46	0 : rest	0.029991	0.011577	0.087565	0.739336	0.000601	0.002175	0.080946	0.009966	100.000000
47	0 : rest	0.089092	0.055075	0.089907	0.657367	0.035244	0.092151	0.253125	0.059224	100.000000
48	7 : three	0.117323	0.161970	0.243896	0.805780	0.003916	0.069734	0.863823	0.317111	100.000000
49	7 : three	0.109006	0.114177	0.263305	0.853312	0.002288	0.055587	0.937878	0.253947	100.000000
50	7 : three	0.210692	0.160607	0.343576	0.786446	0.013636	0.124424	0.811319	0.335093	100.000000
51	0 : rest	0.023863	0.013709	0.100638	0.739993	0.001323	0.001824	0.045825	0.006033	100.000000
52	4 : pointing	0.312162	0.462760	0.447593	0.745203	0.075434	0.145128	0.039572	0.426586	100.000000
53	6 : two	0.323688	0.255759	0.187579	0.693098	0.005179	0.139990	0.395852	0.136122	100.000000
54	2 : fist	0.995636	0.997989	0.390961	0.955150	0.579465	0.920364	0.999960	0.943693	100.000000
55	4 : pointing	0.305789	0.535499	0.340145	0.702681	0.031094	0.139481	0.079062	0.435956	100.000000
56	0 : rest	0.026811	0.005178	0.058041	0.736590	0.000068	0.000260	0.047690	0.003035	100.000000
57	9 : five	0.314038	0.394159	0.704498	0.847490	0.037639	0.367017	0.925331	0.554675	100.000000
58	3 : hook	0.616758	0.657856	0.582477	0.785008	0.115593	0.218700	0.861408	0.670456	100.000000
59	7 : three	0.175874	0.182888	0.332526	0.832600	0.006942	0.081783	0.893329	0.325362	100.000000
60	2 : fist	0.998570	0.987823	0.292795	0.964885	0.695939	0.880864	0.999989	0.965890	100.000000
61	9 : five	0.313747	0.311913	0.538764	0.804694	0.020330	0.242554	0.867624	0.546238	100.000000
62	1 : pinch	0.111243	0.037612	0.084407	0.720604	0.054081	0.318273	0.340264	0.081913	100.000000
63	3 : hook	0.698912	0.620212	0.453290	0.580291	0.072018	0.226522	0.804935	0.583303	100.000000
64	1 : pinch	0.151131	0.043498	0.110820	0.777238	0.102254	0.466408	0.346266	0.100405	100.000000
65	5 : one	0.356050	0.230944	0.242831	0.609586	0.041526	0.061345	0.095089	0.096924	100.000000
66	7 : three	0.121331	0.125960	0.278339	0.841897	0.002359	0.058350	0.941646	0.278651	100.000000
67	6 : two	0.324457	0.302927	0.146044	0.621389	0.005007	0.065052	0.356099	0.144556	100.000000
68	8 : four	0.284997	0.205809	0.391461	0.799034	0.016166	0.151991	0.680646	0.346637	100.000000
69	3 : hook	0.647530	0.616235	0.405263	0.609328	0.050156	0.166970	0.756816	0.579300	100.000000
70	1 : pinch	0.124642	0.020339	0.075775	0.750108	0.151260	0.558317	0.314482	0.097040	100.000000
71	1 : pinch	0.139126	0.061804	0.123765	0.745619	0.078420	0.292226	0.358702	0.090958	100.000000
72	0 : rest	0.066825	0.025468	0.184363	0.725018	0.002560	0.003869	0.132510	0.032069	100.000000
73	3 : hook	0.744585	0.644290	0.452053	0.663301	0.118108	0.169655	0.833198	0.643365	100.000000
74	8 : four	0.259444	0.265518	0.525772	0.863425	0.008252	0.154980	0.817335	0.337904	100.000000
75	7 : three	0.147838	0.123249	0.243209	0.788980	0.006883	0.094838	0.845669	0.326505	100.000000
76	0 : rest	0.022867	0.012827	0.085971	0.732816	0.001128	0.002469	0.054018	0.006386	100.000000
77	5 : one	0.387945	0.210206	0.200495	0.591594	0.041676	0.061074	0.076638	0.083404	100.000000
78	1 : pinch	0.098822	0.037168	0.082527	0.731317	0.049042	0.305700	0.321966	0.071231	100.000000
79	3 : hook	0.694515	0.629895	0.398281	0.600031	0.062297	0.158184	0.820048	0.596840	100.000000
80	1 : pinch	0.142170	0.044875	0.110537	0.753815	0.091883	0.405850	0.364864	0.096824	100.000000
81	1 : pinch	0.092858	0.045624	0.088761	0.683775	0.051943	0.219956	0.346320	0.067715	100.000000
82	5 : one	0.543441	0.268100	0.325144	0.603852	0.090579	0.084166	0.038592	0.103401	100.000000
83	0 : rest	0.062717	0.028947	0.156845	0.730122	0.008389	0.020837	0.183393	0.042161	100.000000
84	6 : two	0.301408	0.142569	0.204545	0.698513	0.012105	0.105163	0.539219	0.254435	100.000000
85	7 : three	0.114782	0.137882	0.235634	0.800157	0.003187	0.068549	0.862562	0.334942	100.000000
86	7 : three	0.179461	0.166348	0.298538	0.795909	0.007482	0.088285	0.868661	0.360888	100.000000
87	5 : one	0.402403	0.238753	0.253337	0.656531	0.060825	0.083562	0.081132	0.114497	100.000000
88	6 : two	0.290891	0.165721	0.188449	0.708854	0.006241	0.150080	0.517720	0.157634	100.000000
89	8 : four	0.132866	0.160505	0.358846	0.889678	0.004055	0.076259	0.942507	0.229288	100.000000
90	7 : three	0.106434	0.114580	0.245065	0.821662	0.002470	0.061869	0.898678	0.292242	100.000000
91	4 : pointing	0.347529	0.643964	0.275811	0.637934	0.026992	0.101842	0.069198	0.383152	100.000000
92	9 : five	0.354874	0.413809	0.703977	0.844586	0.023496	0.344295	0.935798	0.622485	100.000000
93	1 : pinch	0.142424	0.060680	0.122276	0.765214	0.063016	0.298218	0.335344	0.079187	100.000000
94	9 : five	0.327154	0.537078	0.793546	0.857058	0.054200	0.444090	0.962154	0.628128	100.000000
95	5 : one	0.411782	0.232012	0.251909	0.602371	0.052247	0.065472	0.069301	0.090209	100.000000
96	8 : four	0.241869	0.244342	0.483336	0.889049	0.007005	0.121509	0.812977	0.245243	100.000000
97	4 : pointing	0.596770	0.802108	0.472128	0.650416	0.039928	0.102754	0.194603	0.593239	100.000000
98	9 : five	0.326866	0.371608	0.627467	0.831023	0.026218	0.319504	0.921720	0.584996	100.000000
99	4 : pointing	0.357512	0.548122	0.226159	0.604650	0.033265	0.098754	0.100793	0.339079	100.000000
100	8 : four	0.273686	0.263747	0.471324	0.873363	0.009229	0.131619	0.793103	0.290195	100.000000
101	3 : hook	0.716373	0.636569	0.482583	0.617907	0.087708	0.228197	0.822201	0.602250	100.000000
102	5 : one	0.394426	0.238270	0.272640	0.679363	0.075947	0.056051	0.036960	0.067267	100.000000
103	2 : fist	0.999509	0.999359	0.182826	0.969743	0.743396	0.943865	0.999997	0.946496	100.000000
104	1 : pinch	0.133303	0.052984	0.110177	0.740636	0.077100	0.334688	0.365799	0.085472	100.000000
105	7 : three	0.154314	0.142656	0.261403	0.786595	0.006120	0.087423	0.882998	0.360576	100.000000
106	7 : three	0.138995	0.142865	0.281865	0.822056	0.003351	0.067866	0.932571	0.314122	100.000000
107	2 : fist	0.884165	0.959358	0.619412	0.900434	0.407162	0.698148	0.995485	0.801114	100.000000
108	1 : pinch	0.147569	0.039874	0.106580	0.751615	0.148086	0.472395	0.358708	0.131555	100.000000
109	1 : pinch	0.152066	0.059585	0.123377	0.760640	0.095268	0.375629	0.370729	0.095177	100.000000
110	0 : rest	0.043005	0.006186	0.079461	0.743165	0.000035	0.000085	0.052666	0.004804	100.000000
111	6 : two	0.346844	0.206134	0.228219	0.726836	0.006816	0.175131	0.399366	0.147523	100.000000
112	0 : rest	0.029803	0.008220	0.073026	0.737742	0.000228	0.000914	0.067847	0.006211	100.000000
113	1 : pinch	0.094974	0.038462	0.079417	0.692960	0.049756	0.251837	0.331137	0.070673	100.000000
114	3 : hook	0.708067	0.641205	0.466779	0.627570	0.083864	0.201676	0.833666	0.611825	100.000000
115	9 : five	0.349559	0.474711	0.728138	0.836175	0.042304	0.401049	0.931390	0.603278	100.000000
116	8 : four	0.181654	0.264037	0.634296	0.936145	0.002438	0.115915	0.922242	0.220086	100.000000
117	5 : one	0.551862	0.242038	0.304133	0.623763	0.083795	0.095882	0.042539	0.091445	100.000000
118	7 : three	0.155613	0.131281	0.284881	0.816593	0.006760	0.090234	0.897994	0.313664	100.000000
119	5 : one	0.509410	0.238757	0.314084	0.605004	0.081258	0.060672	0.027817	0.062080	100.000000
120	6 : two	0.294496	0.188523	0.359154	0.776651	0.018490	0.143764	0.644847	0.335455	100.000000
121	0 : rest	0.053937	0.026708	0.160072	0.735387	0.006945	0.012282	0.143918	0.031342	100.000000
122	3 : hook	0.690467	0.640752	0.422171	0.591815	0.057679	0.174975	0.705141	0.579391	100.000000
123	2 : fist	0.996056	0.999091	0.151556	0.957068	0.685751	0.943322	0.999841	0.902977	100.000000
124	2 : fist	0.983822	0.994419	0.439158	0.943443	0.496645	0.877235	0.999643	0.918520	100.000000
125	9 : five	0.322910	0.352968	0.624592	0.821774	0.038968	0.342212	0.881430	0.544527	100.000000
126	6 : two	0.286987	0.254062	0.134268	0.653073	0.005234	0.108556	0.353086	0.090111	100.000000
127	7 : three	0.195310	0.133965	0.276509	0.789565	0.010868	0.097931	0.818712	0.309321	100.000000
128	6 : two	0.337350	0.217278	0.205139	0.689678	0.008822	0.114133	0.407420	0.182036	100.000000
129	7 : three	0.084965	0.048681	0.187043	0.929284	0.001853	0.043519	0.974957	0.305557	100.000000
130	0 : rest	0.043200	0.022091	0.076077	0.702767	0.003517	0.018770	0.149575	0.020763	100.000000
131	2 : fist	0.954174	0.989567	0.602733	0.946479	0.481429	0.814645	0.999776	0.876171	100.000000
132	9 : five	0.355882	0.547230	0.790551	0.877582	0.047266	0.454423	0.960327	0.640901	100.000000
133	6 : two	0.358421	0.243015	0.227526	0.714851	0.005072	0.167852	0.434642	0.142595	100.000000
134	7 : three	0.123998	0.124406	0.246091	0.823662	0.004661	0.073162	0.895482	0.288427	100.000000
135	2 : fist	0.495768	0.844635	0.552972	0.924186	0.287610	0.657890	0.966698	0.655526	100.000000
136	5 : one	0.576079	0.248055	0.365828	0.608261	0.095356	0.074085	0.024122	0.073010	100.000000
137	8 : four	0.290720	0.238729	0.437022	0.845083	0.011847	0.137207	0.729411	0.299943	100.000000
138	3 : hook	0.696874	0.630950	0.408658	0.548865	0.058532	0.190951	0.821610	0.576821	100.000000
139	0 : rest	0.059772	0.029954	0.162550	0.730512	0.009952	0.016587	0.162108	0.039283	100.000000
140	8 : four	0.221066	0.254857	0.519945	0.904903	0.006653	0.133246	0.900895	0.268702	100.000000
141	6 : two	0.317102	0.249006	0.178785	0.690869	0.004461	0.143375	0.412465	0.126611	100.000000
142	4 : pointing	0.308082	0.667714	0.389358	0.688281	0.027890	0.103915	0.033392	0.438722	100.000000
143	4 : pointing	0.348939	0.640277	0.293201	0.638819	0.027970	0.107925	0.058829	0.391002	100.000000
144	0 : rest	0.036626	0.019975	0.127720	0.744874	0.003211	0.004738	0.080259	0.013837	100.000000
