name	label	A0	A1	A2	A3	A4	A5	A6	A7	Placement
1	7 : three	0.093749	0.218494	0.535626	0.256564	0.147861	0.156209	0.672060	0.110493	100.000000
2	4 : pointing	0.149396	0.407537	0.391321	0.246961	0.226215	0.148037	0.394848	0.249998	100.000000
3	9 : five	0.526915	0.386390	0.860613	0.425324	0.154204	0.414358	0.817197	0.464916	100.000000
4	8 : four	0.401677	0.484449	0.595268	0.386029	0.177707	0.272242	0.450773	0.407799	100.000000
5	5 : one	0.332969	0.527668	0.395467	0.218157	0.038762	0.164005	0.174624	0.084339	100.000000
6	9 : five	0.410870	0.443091	0.837647	0.301003	0.184746	0.359378	0.787142	0.599208	100.000000
7	8 : four	0.565581	0.370423	0.854784	0.474179	0.132626	0.446024	0.825621	0.371203	100.000000
8	3 : hook	0.612595	0.581819	0.601858	0.161120	0.153418	0.197046	0.597607	0.662542	100.000000
9	2 : fist	0.998494	0.998918	0.985964	0.064035	0.999995	0.999922	0.986738	0.999897	100.000000
10	4 : pointing	0.316997	0.569860	0.366434	0.244613	0.079800	0.229759	0.217064	0.217168	100.000000
11	4 : pointing	0.283361	0.583673	0.323271	0.192596	0.105378	0.233346	0.214398	0.275283	100.000000
12	8 : four	0.511923	0.324459	0.856400	0.590685	0.091534	0.359826	0.780718	0.205527	100.000000
13	0 : rest	0.062059	0.367762	0.146841	0.123073	0.033640	0.068486	0.238598	0.032531	100.000000
14	8 : four	0.572731	0.376365	0.836340	0.560186	0.106796	0.399331	0.787950	0.286009	100.000000
15	8 : four	0.405193	0.382094	0.656358	0.478887	0.104775	0.212834	0.490738	0.190759	100.000000
16	4 : pointing	0.347597	0.727500	0.324793	0.118216	0.149174	0.255719	0.183750	0.379233	100.000000
17	0 : rest	0.033445	0.333506	0.072494	0.064875	0.013678	0.054176	0.210087	0.011531	100.000000
18	3 : hook	0.590642	0.648089	0.720623	0.152137	0.176666	0.145101	0.712525	0.657254	100.000000
19	3 : hook	0.461062	0.516231	0.717755	0.222016	0.191459	0.228298	0.684727	0.636546	100.000000
20	0 : rest	0.070851	0.397614	0.123696	0.110674	0.036917	0.092840	0.260311	0.035678	100.000000
21	7 : three	0.160126	0.234886	0.555957	0.236040	0.232802	0.284831	0.805974	0.303559	100.000000
22	8 : four	0.519762	0.367407	0.860406	0.679855	0.093061	0.292255	0.776990	0.208849	100.000000
23	5 : one	0.176686	0.473867	0.218641	0.214257	0.075683	0.163905	0.172234	0.114506	100.000000
24	1 : pinch	0.094273	0.266232	0.129657	0.255621	0.161737	0.393103	0.302502	0.057986	100.000000
25	8 : four	0.402937	0.391063	0.641178	0.420785	0.147465	0.232892	0.556593	0.338296	100.000000
26	8 : four	0.602460	0.283488	0.916048	0.573037	0.092235	0.564278	0.916734	0.218693	100.000000
27	7 : three	0.037346	0.132515	0.436556	0.128970	0.154912	0.196990	0.786976	0.045165	100.000000
28	3 : hook	0.607930	0.797235	0.776233	0.103253	0.149165	0.177024	0.933956	0.741973	100.000000
29	1 : pinch	0.101344	0.303787	0.164883	0.276919	0.174489	0.284049	0.308591	0.106226	100.000000
30	6 : two	0.223879	0.511451	0.457885	0.192327	0.079626	0.165689	0.360715	0.113147	100.000000
31	6 : two	0.311389	0.403131	0.644170	0.359943	0.087746	0.191381	0.496460	0.201442	100.000000
32	1 : pinch	0.081446	0.277664	0.090111	0.218886	0.133664	0.415355	0.268833	0.035997	100.000000
33	6 : two	0.292036	0.479209	0.588074	0.284130	0.071083	0.193215	0.377019	0.063376	100.000000
34	0 : rest	0.034559	0.396071	0.052691	0.125783	0.053848	0.052768	0.053712	0.014763	100.000000
35	4 : pointing	0.365251	0.665076	0.361123	0.205259	0.107834	0.265741	0.277577	0.218789	100.000000
36	2 : fist	0.998596	0.999599	0.993589	0.016264	0.999994	0.999739	0.993276	0.999936	100.000000
37	9 : five	0.376293	0.397446	0.645554	0.326658	0.194318	0.241129	0.645790	0.520961	100.000000
38	9 : five	0.353769	0.453486	0.885728	0.279848	0.193547	0.368351	0.835250	0.671104	100.000000
39	3 : hook	0.589330	0.764830	0.715410	0.104991	0.158253	0.157030	0.910648	0.712766	100.000000
40	8 : four	0.391246	0.346140	0.801260	0.593849	0.083050	0.229664	0.656816	0.154369	100.000000
41	0 : rest	0.006190	0.269409	0.067564	0.035970	0.004176	0.006242	0.273632	0.002884	100.000000
42	3 : hook	0.681051	0.728809	0.731011	0.173984	0.208483	0.289702	0.869468	0.652747	100.000000
43	0 : rest	0.069661	0.428296	0.087983	0.116050	0.047270	0.077237	0.145048	0.033963	100.000000
44	8 : four	0.495975	0.361601	0.811112	0.603155	0.093172	0.277635	0.681138	0.231785	100.000000
45	4 : pointing	0.583961	0.656041	0.465247	0.146307	0.129908	0.216160	0.352725	0.564173	100.000000
46	3 : hook	0.521365	0.622048	0.458897	0.162183	0.158945	0.252174	0.470948	0.474339	100.000000
47	5 : one	0.437726	0.651547	0.413772	0.293442	0.034649	0.196173	0.198301	0.088367	100.000000
48	5 : one	0.200259	0.479070	0.260565	0.230055	0.088460	0.133328	0.169896	0.108065	100.000000
49	5 : one	0.079588	0.400983	0.233857	0.262182	0.088855	0.047629	0.045950	0.039577	100.000000
50	4 : pointing	0.395913	0.540731	0.397009	0.198028	0.072521	0.235123	0.207353	0.231610	100.000000
51	3 : hook	0.555524	0.688487	0.866316	0.140096	0.172950	0.085006	0.810231	0.776224	100.000000
52	4 : pointing	0.251709	0.625864	0.286778	0.183987	0.097975	0.237612	0.171966	0.242068	100.000000
53	4 : pointing	0.343340	0.646903	0.350584	0.194629	0.122857	0.257800	0.280747	0.226827	100.000000
54	0 : rest	0.016609	0.289415	0.093085	0.064860	0.014366	0.023591	0.249225	0.009763	100.000000
55	5 : one	0.294141	0.578326	0.363451	0.242428	0.114593	0.213482	0.280183	0.207024	100.000000
56	3 : hook	0.542871	0.591681	0.601409	0.173055	0.182184	0.277366	0.730506	0.608839	100.000000
57	5 : one	0.341159	0.578207	0.347411	0.216386	0.064428	0.200127	0.203796	0.131478	100.000000
58	7 : three	0.069083	0.145724	0.443946	0.193823	0.269608	0.303777	0.807476	0.115813	100.000000
59	5 : one	0.331337	0.528581	0.451647	0.296472	0.040142	0.101161	0.130903	0.076776	100.000000
60	3 : hook	0.592423	0.686023	0.681055	0.132061	0.152682	0.216358	0.858075	0.687917	100.000000
61	8 : four	0.442299	0.350002	0.832316	0.615378	0.091882	0.257838	0.694463	0.192698	100.000000
