name	label	A0	A1	A2	A3	A4	A5	A6	A7	Placement
1	0 : rest	0.053145	0.034438	0.138768	0.689460	0.010115	0.003223	0.096923	0.021429	100.000000
2	4 : pointing	0.282164	0.423640	0.390725	0.819998	0.062634	0.169902	0.112329	0.484414	100.000000
3	9 : five	0.424907	0.626647	0.712406	0.957732	0.082137	0.552069	0.988897	0.739869	100.000000
4	0 : rest	0.045939	0.030322	0.128749	0.690299	0.009978	0.003744	0.111142	0.022610	100.000000
5	8 : four	0.264696	0.214398	0.537530	0.904538	0.006778	0.167754	0.823297	0.208807	100.000000
6	9 : five	0.331496	0.296398	0.570435	0.947240	0.013863	0.380111	0.974092	0.635857	100.000000
7	1 : pinch	0.071426	0.026088	0.073957	0.661029	0.068715	0.195095	0.291435	0.049615	100.000000
8	6 : two	0.321088	0.245435	0.181423	0.646923	0.006147	0.103737	0.255040	0.089981	100.000000
9	5 : one	0.274702	0.207388	0.186968	0.635990	0.021932	0.033429	0.131625	0.112589	100.000000
10	5 : one	0.305191	0.213188	0.168437	0.657765	0.024165	0.035396	0.125444	0.141481	100.000000
11	9 : five	0.310080	0.291929	0.555862	0.918342	0.010422	0.270608	0.944400	0.548132	100.000000
12	9 : five	0.316017	0.305308	0.579408	0.917191	0.011815	0.305115	0.952490	0.575282	100.000000
13	3 : hook	0.458161	0.616327	0.513355	0.722625	0.041917	0.184715	0.764323	0.605163	100.000000
14	1 : pinch	0.060659	0.024462	0.067947	0.654106	0.055680	0.156493	0.264063	0.038997	100.000000
15	6 : two	0.341611	0.352921	0.267342	0.720985	0.001930	0.240053	0.328218	0.077605	100.000000
16	9 : five	0.367654	0.429265	0.584364	0.880593	0.017509	0.314616	0.935920	0.631087	100.000000
17	2 : fist	0.990457	0.970206	0.412863	0.899398	0.466743	0.715013	0.999509	0.839862	100.000000
18	6 : two	0.369240	0.327989	0.292851	0.715510	0.002520	0.255538	0.319798	0.090914	100.000000
19	0 : rest	0.053621	0.034583	0.126882	0.686372	0.012896	0.006353	0.129564	0.028445	100.000000
20	7 : three	0.105219	0.101262	0.305580	0.837622	0.004666	0.095323	0.893827	0.210694	100.000000
21	7 : three	0.161810	0.113545	0.280559	0.803226	0.007112	0.100570	0.823406	0.245003	100.000000
22	3 : hook	0.455422	0.689478	0.509939	0.685975	0.038894	0.195128	0.877657	0.587904	100.000000
23	6 : two	0.352625	0.274033	0.276341	0.726328	0.004808	0.255358	0.340102	0.109749	100.000000
