name	label	A0	A1	A2	A3	A4	A5	A6	A7	Placement
1	9 : five	0.509783	0.397022	0.892044	0.334911	0.161056	0.487133	0.920698	0.585995	100.000000
2	2 : fist	0.999644	0.997965	0.997979	0.074942	0.999989	0.999845	0.968392	0.999986	100.000000
3	9 : five	0.497490	0.471684	0.942719	0.323888	0.180222	0.555057	0.959130	0.606434	100.000000
4	2 : fist	0.943104	0.980794	0.888404	0.079701	0.983224	0.980841	0.920673	0.975149	100.000000
5	0 : rest	0.049999	0.349707	0.148549	0.078031	0.026916	0.051975	0.329100	0.034253	100.000000
6	4 : pointing	0.292320	0.608415	0.418225	0.239127	0.126429	0.279453	0.254273	0.372998	100.000000
7	2 : fist	0.767675	0.951725	0.812595	0.066194	0.672256	0.409763	0.894744	0.891578	100.000000
8	1 : pinch	0.053971	0.211053	0.074665	0.123062	0.064006	0.345799	0.366028	0.016542	100.000000
9	8 : four	0.447619	0.567160	0.725565	0.462246	0.179768	0.421210	0.692777	0.426727	100.000000
10	6 : two	0.449825	0.776440	0.393174	0.140228	0.111513	0.409887	0.402680	0.031716	100.000000
11	2 : fist	0.999309	0.998211	0.996576	0.062830	0.999988	0.999840	0.978720	0.999963	100.000000
12	5 : one	0.257891	0.470873	0.395155	0.234488	0.048387	0.139427	0.183226	0.076796	100.000000
13	7 : three	0.076983	0.163484	0.477030	0.309573	0.217720	0.287719	0.746669	0.145141	100.000000
14	3 : hook	0.614237	0.694673	0.831323	0.194372	0.275295	0.574442	0.952205	0.663915	100.000000
15	0 : rest	0.042257	0.387157	0.084712	0.102098	0.030561	0.059134	0.197016	0.018625	100.000000
16	2 : fist	0.997323	0.985360	0.994596	0.126564	0.998566	0.990834	0.901198	0.999821	100.000000
17	4 : pointing	0.239567	0.645362	0.358036	0.241384	0.121602	0.250261	0.078460	0.426185	100.000000
18	7 : three	0.035446	0.084562	0.499656	0.181207	0.222216	0.214998	0.882495	0.072097	100.000000
19	3 : hook	0.680421	0.858335	0.622641	0.107219	0.360451	0.709891	0.910312	0.696929	100.000000
20	6 : two	0.310732	0.650538	0.529984	0.183011	0.053495	0.247432	0.339236	0.023547	100.000000
21	7 : three	0.077222	0.133468	0.657677	0.295696	0.303317	0.244781	0.888274	0.170741	100.000000
22	8 : four	0.354987	0.543145	0.566051	0.409506	0.133520	0.287615	0.424995	0.413989	100.000000
23	3 : hook	0.532469	0.710527	0.596625	0.126345	0.155358	0.369676	0.876336	0.662682	100.000000
24	4 : pointing	0.270892	0.747633	0.234970	0.122854	0.068181	0.319676	0.098995	0.290739	100.000000
25	3 : hook	0.556405	0.701157	0.713085	0.127883	0.170205	0.275253	0.921643	0.699340	100.000000
26	9 : five	0.411473	0.406683	0.923130	0.268218	0.174276	0.461367	0.934703	0.694723	100.000000
27	0 : rest	0.028029	0.380793	0.084949	0.076001	0.032679	0.043140	0.210127	0.014591	100.000000
28	7 : three	0.075338	0.219333	0.579466	0.190858	0.125929	0.126528	0.744629	0.138783	100.000000
29	2 : fist	0.999970	0.999919	0.999684	0.017642	1.000000	0.999999	0.999114	1.000000	100.000000
30	6 : two	0.206253	0.417278	0.561864	0.260080	0.094279	0.150005	0.369004	0.053698	100.000000
31	8 : four	0.484605	0.410760	0.919724	0.603278	0.079897	0.556397	0.956027	0.169242	100.000000
32	5 : one	0.234589	0.466252	0.311237	0.196935	0.046977	0.140558	0.154657	0.072296	100.000000
33	1 : pinch	0.068654	0.190899	0.070069	0.225001	0.145362	0.567891	0.340349	0.023152	100.000000
34	4 : pointing	0.284200	0.612613	0.325913	0.239717	0.107316	0.274000	0.165196	0.365842	100.000000
35	2 : fist	0.509964	0.796047	0.899284	0.215444	0.533197	0.736960	0.948029	0.726281	100.000000
36	0 : rest	0.060919	0.431447	0.072768	0.104901	0.036308	0.098032	0.155616	0.020618	100.000000
37	6 : two	0.279246	0.591953	0.452710	0.180572	0.094061	0.228032	0.318653	0.065949	100.000000
38	1 : pinch	0.049596	0.145268	0.168896	0.237597	0.184702	0.280071	0.519247	0.043645	100.000000
39	5 : one	0.259796	0.484125	0.411973	0.186209	0.043254	0.160525	0.201787	0.054651	100.000000
40	2 : fist	0.999419	0.991633	0.997360	0.125689	0.999836	0.998099	0.901267	0.999964	100.000000
41	4 : pointing	0.368274	0.610783	0.472382	0.162647	0.186042	0.154929	0.126381	0.547879	100.000000
42	0 : rest	0.034502	0.329499	0.054671	0.048214	0.008647	0.073791	0.304332	0.006512	100.000000
43	7 : three	0.079133	0.152645	0.634743	0.250338	0.261658	0.242960	0.871058	0.166089	100.000000
44	3 : hook	0.587108	0.725742	0.795816	0.131404	0.219993	0.164604	0.920843	0.692366	100.000000
45	6 : two	0.332076	0.656538	0.431124	0.183074	0.115866	0.298347	0.368043	0.056272	100.000000
46	5 : one	0.076604	0.486147	0.098682	0.131137	0.096010	0.096980	0.121649	0.044110	100.000000
47	5 : one	0.291688	0.537994	0.308178	0.164535	0.082958	0.196581	0.187697	0.166714	100.000000
48	6 : two	0.307305	0.576585	0.472606	0.203660	0.078748	0.240281	0.319302	0.046884	100.000000
49	0 : rest	0.007067	0.234774	0.052827	0.057287	0.013270	0.017770	0.173246	0.004094	100.000000
50	5 : one	0.077865	0.456572	0.146611	0.188171	0.085415	0.072404	0.108567	0.042600	100.000000
51	5 : one	0.197860	0.451862	0.285339	0.181169	0.046976	0.133206	0.148864	0.061809	100.000000
52	5 : one	0.123217	0.474837	0.156832	0.184651	0.103384	0.126903	0.172399	0.080500	100.000000
53	6 : two	0.338483	0.696262	0.366232	0.164217	0.115042	0.317135	0.345341	0.049463	100.000000
54	9 : five	0.460237	0.381612	0.922934	0.303177	0.165886	0.465376	0.925620	0.648091	100.000000
55	2 : fist	0.853013	0.791041	0.978451	0.307505	0.710280	0.320191	0.779211	0.972621	100.000000
56	8 : four	0.350675	0.430503	0.873073	0.599873	0.089531	0.331141	0.897792	0.175915	100.000000
57	6 : two	0.301378	0.606815	0.366239	0.161456	0.125194	0.241943	0.338273	0.141255	100.000000
58	3 : hook	0.447673	0.644877	0.519266	0.214396	0.226845	0.417696	0.469189	0.530319	100.000000
59	7 : three	0.081948	0.253635	0.555733	0.218170	0.166138	0.117764	0.694912	0.176792	100.000000
60	5 : one	0.179166	0.448719	0.226601	0.162790	0.046158	0.138178	0.143787	0.054741	100.000000
61	0 : rest	0.072603	0.424124	0.138941	0.158852	0.062714	0.064419	0.128881	0.040434	100.000000
62	0 : rest	0.048317	0.324449	0.087754	0.077293	0.022689	0.098153	0.316866	0.014922	100.000000
63	5 : one	0.281227	0.484535	0.368633	0.213278	0.055195	0.160993	0.187692	0.095040	100.000000
64	9 : five	0.398053	0.553133	0.968067	0.185967	0.170238	0.481326	0.983192	0.803636	100.000000
65	1 : pinch	0.085753	0.258093	0.201636	0.269771	0.129658	0.230276	0.356503	0.069627	100.000000
66	3 : hook	0.575082	0.707845	0.702646	0.171281	0.202903	0.535901	0.864837	0.635927	100.000000
67	0 : rest	0.021670	0.298512	0.064381	0.076812	0.020811	0.034537	0.190972	0.012136	100.000000
68	4 : pointing	0.159389	0.467931	0.330451	0.223168	0.138944	0.176555	0.284264	0.256808	100.000000
69	0 : rest	0.032464	0.303522	0.119569	0.113645	0.036093	0.036531	0.153730	0.022928	100.000000
70	9 : five	0.479860	0.373255	0.863042	0.320755	0.168253	0.417945	0.885432	0.587455	100.000000
71	3 : hook	0.567983	0.697699	0.794830	0.140714	0.237881	0.160326	0.907063	0.700680	100.000000
72	9 : five	0.433525	0.372566	0.860339	0.286508	0.181874	0.384601	0.885280	0.633901	100.000000
73	1 : pinch	0.104092	0.308945	0.161145	0.198665	0.094743	0.242731	0.307450	0.042184	100.000000
74	4 : pointing	0.300953	0.723551	0.270733	0.152394	0.090665	0.286125	0.172464	0.281851	100.000000
75	6 : two	0.302838	0.523628	0.629651	0.246102	0.089642	0.231187	0.450660	0.048036	100.000000
76	3 : hook	0.447351	0.706734	0.563127	0.129937	0.246152	0.290545	0.658690	0.598596	100.000000
77	8 : four	0.173417	0.206858	0.818867	0.526607	0.238838	0.419511	0.952955	0.172117	100.000000
78	0 : rest	0.047846	0.327618	0.102320	0.086987	0.028265	0.081985	0.317274	0.019342	100.000000
79	3 : hook	0.466586	0.464995	0.624921	0.192116	0.165603	0.187215	0.684233	0.620542	100.000000
80	1 : pinch	0.080109	0.269051	0.302626	0.221851	0.342235	0.098988	0.411272	0.202744	100.000000
81	8 : four	0.570392	0.403838	0.931390	0.630201	0.081001	0.658735	0.972991	0.184753	100.000000
82	7 : three	0.130031	0.124356	0.822389	0.426267	0.275926	0.521857	0.971808	0.131665	100.000000
83	7 : three	0.024444	0.042721	0.503877	0.169639	0.367752	0.369722	0.942908	0.041118	100.000000
84	8 : four	0.200290	0.373355	0.678916	0.263787	0.082689	0.149281	0.596073	0.128673	100.000000
85	2 : fist	0.964033	0.936658	0.972793	0.158318	0.943918	0.768553	0.750034	0.995484	100.000000
86	5 : one	0.324417	0.649233	0.309362	0.144487	0.122271	0.270333	0.255872	0.189183	100.000000
